issue_number,turn_count,reassignment_count,reopen_count,resolution_success,sla_breach_flag,sla_remaining_norm,sla_limit_hours,frustration_score,interaction_depth,first_response_time_hours
303181,1,0,0,0,0,0.9999,72.0,0.0064,1,0.66
303177,0,0,0,0,0,0.9996,24.0,0.0,0,-1.0
303167,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303166,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303165,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303162,0,0,0,0,0,1.0,72.0,0.0,0,-1.0
303154,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303141,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
303140,1,1,0,0,0,0.9919,72.0,0.0255,2,0.58
303131,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303132,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303125,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303124,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303122,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303108,1,0,0,0,0,0.9999,72.0,0.0064,1,0.11
303105,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303095,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303090,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303087,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303086,1,0,0,0,0,0.9997,72.0,0.0064,1,0.09
303079,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303078,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303072,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303071,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
303065,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
303025,1,0,0,0,0,0.8633,24.0,0.0064,1,0.28
303023,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
303006,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
302993,2,2,0,0,0,0.77,48.0,0.051,4,1.5
302992,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302957,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
302956,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302954,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302945,2,0,0,0,0,0.9997,72.0,0.0127,2,0.28
302928,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302925,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
302924,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302922,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302921,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302919,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302918,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302899,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302896,1,0,0,0,0,0.9997,72.0,0.0064,1,0.43
302894,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302889,0,1,0,0,0,0.9878,72.0,0.0191,1,-1.0
302886,2,0,0,0,0,0.9997,72.0,0.0127,1,4.17
302882,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302879,2,1,0,0,0,0.9226,72.0,0.0318,3,5.54
302874,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302871,1,1,0,0,0,0.9886,72.0,0.0255,2,0.63
302868,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0
302867,1,0,0,0,0,0.9997,72.0,0.0064,1,0.67
302864,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302861,0,0,0,0,0,0.999,72.0,0.0,0,-1.0
302859,2,0,0,0,0,0.9989,72.0,0.0127,1,1.35
302858,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0
302857,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0
302856,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0
302850,0,0,0,0,0,0.9975,72.0,0.0,0,-1.0
302849,1,0,0,1,0,0.9972,72.0,0.0064,1,18.28
302845,0,1,0,0,0,0.9938,24.0,0.0191,1,-1.0
302844,0,1,0,0,0,0.9933,24.0,0.0191,1,-1.0
302843,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0
302842,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0
302841,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0
302837,0,0,0,0,0,0.9936,72.0,0.0,0,-1.0
302833,0,1,0,0,0,0.9817,24.0,0.0191,1,-1.0
302828,0,1,0,0,0,0.9762,24.0,0.0191,1,-1.0
302827,0,1,0,0,0,0.9762,24.0,0.0191,1,-1.0
302826,0,1,0,0,0,0.9929,72.0,0.0191,1,-1.0
302822,0,1,0,0,0,0.9775,24.0,0.0191,1,-1.0
302805,0,1,0,0,0,0.99,24.0,0.0191,1,-1.0
302789,0,0,0,0,0,0.9994,72.0,0.0,0,-1.0
302786,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0
302735,0,0,0,0,0,0.9996,24.0,0.0,0,-1.0
302725,1,0,0,1,0,0.9997,72.0,0.0064,1,0.25
302723,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
302717,1,1,0,0,0,0.8954,24.0,0.0255,2,2.34
302715,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302709,3,1,0,1,0,0.9717,24.0,0.0382,3,0.04
302707,2,3,0,0,0,0.8882,72.0,0.0701,5,1.07
302705,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302694,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302675,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302669,3,1,0,0,0,0.7475,72.0,0.0382,3,10.32
302668,2,1,0,0,0,0.8694,72.0,0.0318,3,9.4
302660,2,1,0,1,0,0.8679,72.0,0.0318,3,0.03
302657,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302649,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302642,2,1,0,0,0,0.8897,72.0,0.0318,3,0.01
302614,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302613,7,2,0,1,0,0.7703,72.0,0.0828,5,0.06
302600,2,0,0,0,0,0.9904,24.0,0.0127,2,0.23
302598,3,2,0,0,0,0.6871,72.0,0.0573,4,0.01
302597,5,2,0,0,0,0.9935,48.0,0.0701,6,0.14
302590,13,1,1,1,0,0.9885,72.0,0.1274,6,0.11
302585,5,1,0,0,0,0.9867,72.0,0.051,6,0.11
302581,5,3,0,0,0,0.7585,72.0,0.0892,7,0.01
302578,1,0,0,0,0,0.9992,24.0,0.0064,1,0.04
302570,7,2,0,1,0,0.9779,72.0,0.0828,9,0.08
302565,0,1,0,0,0,0.9997,72.0,0.0191,1,-1.0
302561,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302560,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302559,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302525,0,0,0,0,0,0.9931,72.0,0.0,0,-1.0
302524,3,3,0,1,0,0.986,48.0,0.0764,6,0.67
302504,1,0,0,0,0,0.9515,72.0,0.0064,1,3.49
302502,3,1,2,0,0,0.926,48.0,0.0892,3,1.15
302501,1,2,0,1,0,0.8165,72.0,0.0446,3,13.2
302499,4,1,0,1,0,0.5162,48.0,0.0446,3,0.09
302477,2,1,0,1,0,0.3056,48.0,0.0318,3,0.0
302475,2,1,0,1,0,0.1208,48.0,0.0318,2,23.48
302471,2,0,0,1,0,0.9997,72.0,0.0127,1,0.0
302467,1,0,0,0,0,0.9993,72.0,0.0064,1,0.62
302465,1,0,0,0,0,0.9996,72.0,0.0064,1,0.07
302452,4,3,0,1,0,0.9124,72.0,0.0828,5,0.01
302443,1,0,0,1,0,0.9988,24.0,0.0064,1,44.99
302439,2,0,0,0,0,0.9996,72.0,0.0127,1,0.03
302438,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302405,1,2,0,0,0,0.6092,72.0,0.0446,3,27.83
302365,1,0,0,0,0,0.9996,72.0,0.0064,1,0.84
302345,6,1,0,0,0,0.5765,72.0,0.0573,4,11.46
302337,2,1,0,0,0,0.8606,48.0,0.0318,3,6.69
302306,2,0,0,0,0,0.9988,24.0,0.0127,1,0.3
302293,0,0,0,0,0,0.9983,24.0,0.0,0,-1.0
302286,2,0,0,0,0,0.9983,24.0,0.0127,1,0.04
302281,4,1,0,0,0,0.3042,72.0,0.0446,3,0.02
302279,3,3,0,0,0,0.5992,48.0,0.0764,5,1.81
302242,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
302240,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302239,2,3,0,0,0,0.3653,72.0,0.0701,5,45.7
302229,2,1,0,0,0,0.5519,48.0,0.0318,2,1.04
302174,2,0,0,0,0,0.9958,24.0,0.0127,1,0.02
302137,2,2,0,0,0,0.6885,72.0,0.051,4,2.46
302130,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
302097,3,0,0,0,0,0.9996,24.0,0.0191,1,0.01
302096,4,2,0,1,0,0.0969,72.0,0.0637,4,47.78
302069,9,2,0,0,0,0.6264,72.0,0.0955,10,0.05
302062,5,3,0,1,0,0.9438,48.0,0.0892,5,0.11
302054,2,1,0,0,0,0.7929,48.0,0.0318,2,9.0
302049,1,2,0,0,0,0.8342,72.0,0.0446,3,11.92
302014,2,1,0,0,0,0.4998,48.0,0.0318,3,18.84
302005,5,1,0,0,0,0.7025,24.0,0.051,5,0.44
301993,5,1,0,0,0,0.8814,72.0,0.051,5,0.74
301989,4,0,0,0,0,0.9992,24.0,0.0255,2,0.03
301988,5,1,0,1,0,0.8754,72.0,0.051,5,0.39
301985,4,1,0,1,0,0.1007,72.0,0.0446,3,30.94
301981,3,2,0,0,0,0.7327,48.0,0.0573,4,0.02
301980,1,0,0,0,0,0.9988,24.0,0.0064,1,0.78
301979,5,0,0,0,0,0.9988,24.0,0.0318,3,0.16
301961,5,1,0,0,0,0.8492,72.0,0.051,5,1.18
301960,3,1,0,0,0,0.8458,72.0,0.0382,3,2.84
301955,1,0,0,0,0,0.9997,72.0,0.0064,1,0.02
301935,3,2,0,0,0,0.5714,72.0,0.0573,5,4.76
301928,2,1,0,1,0,0.4321,48.0,0.0318,3,1.22
301922,2,0,0,0,0,0.9996,24.0,0.0127,1,0.0
301921,4,1,0,1,0,0.7864,72.0,0.0446,4,0.13
301912,2,1,0,0,0,0.7611,72.0,0.0318,2,17.15
301886,2,3,0,1,0,0.6924,72.0,0.0701,5,20.5
301879,3,3,0,1,0,0.5756,48.0,0.0764,5,0.03
301858,6,1,0,0,0,0.9462,48.0,0.0573,4,0.32
301844,1,0,0,0,0,0.9997,72.0,0.0064,1,0.26
301821,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
301819,7,3,0,0,0,0.4312,48.0,0.1019,6,17.35
301802,4,1,0,0,0,0.5143,72.0,0.0446,4,18.68
301795,1,0,0,0,0,0.9997,72.0,0.0064,1,0.07
301786,1,0,0,0,0,0.9992,24.0,0.0064,1,0.01
301782,1,0,0,0,0,0.9997,72.0,0.0064,1,0.02
301754,5,1,0,0,0,0.3756,72.0,0.051,5,11.1
301753,8,1,0,0,0,0.3918,72.0,0.0701,4,0.06
301748,10,2,0,0,1,0.0,72.0,0.1019,4,44.02
301747,3,1,0,1,0,0.9938,72.0,0.0382,2,0.11
301739,2,1,0,0,1,0.0,24.0,0.0318,3,0.01
301733,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301732,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301723,1,0,0,1,0,0.9997,72.0,0.0064,1,0.26
301715,2,2,0,1,1,0.0,72.0,0.051,4,92.18
301702,2,0,0,1,0,0.9992,24.0,0.0127,1,0.04
301694,9,1,0,0,1,0.0,72.0,0.0764,7,1.19
301685,1,0,0,0,0,0.9997,72.0,0.0064,1,0.92
301654,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301641,2,0,0,0,0,0.9988,24.0,0.0127,1,0.01
301620,1,0,0,0,0,0.9054,24.0,0.0064,1,2.27
301619,4,1,0,1,1,0.0,48.0,0.0446,4,52.17
301617,5,0,0,1,1,0.0,72.0,0.0318,3,6.31
301609,4,1,0,1,1,0.0,48.0,0.0446,3,0.48
301608,0,1,0,0,1,0.0,48.0,0.0191,1,-1.0
301594,5,1,0,1,1,0.0,48.0,0.051,3,0.07
301581,1,0,0,0,0,0.9997,72.0,0.0064,1,0.0
301578,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301568,1,1,0,0,1,0.0,48.0,0.0255,2,0.01
301563,3,1,0,1,0,0.7415,48.0,0.0382,3,0.03
301554,0,1,0,0,0,0.9938,72.0,0.0191,1,-1.0
301553,3,1,0,1,1,0.0,72.0,0.0382,3,75.21
301552,2,3,0,0,1,0.0,72.0,0.0701,5,65.1
301547,6,2,0,0,0,0.0004,72.0,0.0764,6,0.07
301541,2,1,0,0,0,0.9549,72.0,0.0318,2,0.02
301530,1,0,0,0,0,0.9992,24.0,0.0064,1,0.07
301521,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
301518,4,2,0,0,0,0.8831,48.0,0.0637,6,1.16
301515,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
301508,5,3,0,1,1,0.0,48.0,0.0892,8,2.77
301506,2,1,0,1,1,0.0,72.0,0.0318,3,1.35
301498,4,1,0,1,0,0.9253,72.0,0.0446,3,0.01
301491,3,4,0,0,1,0.0,48.0,0.0955,6,2.64
301464,1,0,0,0,0,0.9992,24.0,0.0064,1,0.05
301458,58,3,0,1,1,0.0,48.0,0.4268,48,3.08
301451,2,0,0,0,0,0.9999,72.0,0.0127,1,0.01
301440,4,2,0,0,1,0.0,72.0,0.0637,6,0.38
301428,2,1,0,0,0,0.8864,72.0,0.0318,3,8.18
301426,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301421,2,1,0,1,0,0.906,72.0,0.0318,3,0.08
301405,10,1,0,1,1,0.0,72.0,0.0828,9,0.05
301403,13,1,0,1,1,0.0,72.0,0.1019,13,0.75
301395,4,2,0,0,1,0.0,72.0,0.0637,6,0.77
301394,3,1,0,0,1,0.0,72.0,0.0382,4,0.05
301391,2,1,0,1,0,0.6208,72.0,0.0318,3,20.34
301377,2,1,0,0,0,0.475,72.0,0.0318,3,0.06
301352,1,1,0,0,1,0.0,24.0,0.0255,2,87.93
301324,3,1,0,1,0,0.7736,72.0,0.0382,3,16.3
301318,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
301314,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
301305,2,2,0,1,0,0.9769,48.0,0.051,3,0.02
301301,3,3,0,0,1,0.0,72.0,0.0764,6,81.09
301299,1,0,0,0,0,0.9997,72.0,0.0064,1,0.03
301296,3,1,0,0,1,0.0,48.0,0.0382,3,0.18
301272,1,0,0,1,0,0.9996,72.0,0.0064,1,0.25
301269,2,1,0,0,0,0.9896,72.0,0.0318,3,0.05
301244,6,1,0,1,1,0.0,24.0,0.0573,6,4.02
301243,2,0,0,0,0,0.999,72.0,0.0127,1,0.01
301234,2,2,0,0,1,0.0,72.0,0.051,4,84.25
301169,2,2,0,0,0,0.6261,72.0,0.051,4,2.19
301144,1,1,0,0,0,0.9829,24.0,0.0255,2,0.41
301131,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
301130,1,0,0,1,0,0.9996,72.0,0.0064,1,0.33
301121,1,2,0,0,0,0.47,48.0,0.0446,3,0.0
301116,2,1,0,0,1,0.0,72.0,0.0318,3,0.41
301110,2,3,0,0,1,0.0,72.0,0.0701,5,2.25
301107,2,1,0,0,0,0.741,72.0,0.0318,3,0.97
301094,1,1,0,1,0,0.9724,72.0,0.0255,2,1.99
301092,4,2,0,1,0,0.4325,48.0,0.0637,6,7.57
301084,1,1,0,0,0,0.46,72.0,0.0255,2,38.86
301080,1,0,0,0,1,0.0,24.0,0.0064,1,0.27
301079,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301077,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301070,1,0,0,0,1,0.0,24.0,0.0064,1,1.26
301064,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301060,12,4,0,1,1,0.0,48.0,0.1529,12,0.01
301058,0,1,0,0,1,0.0,24.0,0.0191,1,-1.0
301052,3,2,0,0,0,0.8917,72.0,0.0573,4,0.01
301047,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
301038,1,0,0,0,1,0.0,24.0,0.0064,1,12.64
301032,5,1,0,1,0,0.7529,72.0,0.051,6,0.4
301030,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301027,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301025,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301013,3,2,0,0,1,0.0,48.0,0.0573,4,0.41
301011,151,2,0,1,1,0.0,48.0,1.0,89,0.35
301002,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
301001,5,1,0,0,1,0.0,72.0,0.051,6,0.74
300996,2,1,0,1,1,0.0,24.0,0.0318,3,128.71
300990,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300985,6,1,0,0,1,0.0,72.0,0.0573,6,0.53
300984,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300982,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300975,1,1,0,0,1,0.0,24.0,0.0255,2,17.83
300974,3,1,0,0,1,0.0,72.0,0.0382,3,107.8
300972,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300971,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300970,4,0,0,0,0,0.9994,72.0,0.0255,2,0.21
300968,1,1,0,0,1,0.0,24.0,0.0255,2,40.81
300960,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300959,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300947,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300941,2,1,0,0,0,0.4467,72.0,0.0318,3,116.48
300937,2,3,0,0,1,0.0,72.0,0.0701,5,0.83
300930,5,1,0,1,1,0.0,24.0,0.051,5,9.77
300928,1,0,0,0,0,0.9996,72.0,0.0064,1,0.01
300922,3,1,0,0,0,0.9922,72.0,0.0382,3,0.02
